Pakhar-A 115.13 Ha Boundary Pillars,,,
Sl No,NORTHING,EASTING,Code
1,2605201.531,256320.247,BP1
2,2605250.66,256329.539,BP2
3,2605279.989,256335.087,BP3
4,2605326.528,256316.809,BP4
5,2605373.068,256298.532,BP5
6,2605419.608,256280.254,BP6
7,2605466.147,256261.976,BP7
8,2605512.687,256243.699,BP8
9,2605559.226,256225.421,BP9
10,2605605.766,256207.143,BP10
11,2605652.305,256188.866,BP11
12,2605698.872,256170.658,BP12
13,2605745.799,256153.398,BP13
14,2605792.725,256136.138,BP14
15,2605833.071,256121.299,BP15
16,2605874.134,256149.827,BP16
17,2605915.197,256178.355,BP17
18,2605956.259,256206.883,BP18
19,2605997.032,256235.825,BP19
20,2606037.034,256265.822,BP20
21,2606077.035,256295.82,BP21
22,2606117.037,256325.817,BP22
23,2606157.039,256355.814,BP23
24,2606197.041,256385.812,BP24
25,2606237.043,256415.809,BP25
26,2606277.045,256445.807,BP26
27,2606286.423,256452.839,BP27
28,2606274.145,256450.344,BP28
29,2606274.069,256458.121,BP29
30,2606283.471,256457.159,BP30
31,2606286.809,256465.673,BP31
32,2606272.286,256470.196,BP32
33,2606274.049,256478.295,BP33
34,2606246.937,256485.136,BP34
35,2606215.468,256478.146,BP35
36,2606214.498,256488.874,BP36
37,2606205.098,256489.738,BP37
38,2606188.069,256483.232,BP38
39,2606186.808,256486.079,BP39
40,2606202.748,256493.266,BP40
41,2606208.755,256494.952,BP41
42,2606249.307,256494.952,BP42
43,2606270.058,256489.993,BP43
44,2606289.88,256493.434,BP44
45,2606293.201,256484.01,BP45
46,2606295.431,256483.075,BP46
47,2606344.929,256490.143,BP47
48,2606348.302,256490.705,BP48
49,2606387.379,256521.898,BP49
50,2606426.456,256553.091,BP50
51,2606465.532,256584.284,BP51
52,2606504.609,256615.478,BP52
53,2606520.629,256628.266,BP53
54,2606507.228,256649.182,BP54
55,2606495.23,256644.835,BP55
56,2606491.976,256655.013,BP56
57,2606498.795,256669.856,BP57
58,2606527.459,256658.423,BP58
59,2606538.85,256661.529,BP59
60,2606531.84,256680.371,BP60
61,2606519.402,256693.135,BP61
62,2606504.074,256720.209,BP62
63,2606514.312,256722.859,BP63
64,2606526.018,256701.506,BP64
